695833 | 03AQ02 Mar 23 02:23:22 03 | L01 D3 (Groth) | 14:19:28.0  52:40:41 2000 |  180 | i | 1.19 | 0.79 0.87  1127 |P 1 V Q|
739417 | 04AQ02 Mar 19 04:25:03 04 | L01 D3         | 14:19:27.9  52:40:42 2000 |  225 | g | 1.25 | 0.98 1.06   371 |P 2 V Q|
739418 | 04AQ02 Mar 19 04:29:43 04 | L01 D3         | 14:19:26.2  52:40:37 2000 |  225 | g | 1.26 | 1.05 1.14   382 |P 3 V Q|
739419 | 04AQ02 Mar 19 04:34:23 04 | L01 D3         | 14:19:28.4  52:40:27 2000 |  225 | g | 1.27 | 1.01 1.10   370 |P 2 V Q|
739420 | 04AQ02 Mar 19 04:39:06 04 | L01 D3         | 14:19:29.5  52:40:46 2000 |  225 | g | 1.28 | 1.02 1.10   366 |P 2 V Q|
739421 | 04AQ02 Mar 19 04:43:45 04 | L01 D3         | 14:19:27.4  52:40:57 2000 |  225 | g | 1.28 | 0.98 1.06   378 |P 2 V Q|
739423 | 04AQ02 Mar 19 05:00:24 04 | L01 D3         | 14:19:27.9  52:40:42 2000 |  360 | z | 1.31 | 1.06 1.11  1951 |P 3 V Q|
739424 | 04AQ02 Mar 19 05:07:18 04 | L01 D3         | 14:19:26.2  52:40:37 2000 |  360 | z | 1.33 | 1.07 1.11  1881 |P 3 V Q|
739425 | 04AQ02 Mar 19 05:14:13 04 | L01 D3         | 14:19:28.3  52:40:27 2000 |  360 | z | 1.35 | 1.11 1.15  1905 |P 3 V Q|
739426 | 04AQ02 Mar 19 05:21:08 04 | L01 D3         | 14:19:29.5  52:40:46 2000 |  360 | z | 1.37 | 1.23 1.26  1938 |P 3 V Q|
739427 | 04AQ02 Mar 19 05:28:05 04 | L01 D3         | 14:19:27.4  52:40:56 2000 |  360 | z | 1.39 | 1.46 1.51  1970 |P 3 V Q|
739518 | 04AQ02 Mar 20 00:16:10 04 | L01 D2         | 10:00:28.7   2:12:20 2000 |  360 | r | 1.16 | 0.94 1.01  1057 |P 1 V Q|
739519 | 04AQ02 Mar 20 00:23:04 04 | L01 D2         | 10:00:27.7   2:12:15 2000 |  360 | r | 1.17 | 1.21 1.26  1043 |P 3 V Q|
739520 | 04AQ02 Mar 20 00:30:43 04 | L01 D2         | 10:00:29.0   2:12:04 2000 |  360 | r | 1.20 | 1.35 1.39  1055 |P 3 O Q|
739521 | 04AQ02 Mar 20 00:37:37 04 | L01 D2         | 10:00:29.7   2:12:24 2000 |  360 | r | 1.22 | 0.98 1.05  1116 |P 2 V Q|
739522 | 04AQ02 Mar 20 00:44:31 04 | L01 D2         | 10:00:28.4   2:12:35 2000 |  360 | r | 1.24 | 0.82 0.89  1079 |P 1 V Q|
739523 | 04AQ02 Mar 20 00:53:28 04 | L01 D2         | 10:00:29.0   2:12:05 2000 |  360 | r | 1.27 | 1.00 1.05  1076 |P 2 V Q|
739524 | 04AQ02 Mar 20 01:00:17 04 | L01 D2         | 10:00:28.7   2:12:19 2000 |  225 | g | 1.30 | 0.95 1.02   490 |P 1 V Q|
739525 | 04AQ02 Mar 20 01:04:57 04 | L01 D2         | 10:00:27.7   2:12:15 2000 |  225 | g | 1.32 | 0.93 1.00   481 |P 1 V Q|
739526 | 04AQ02 Mar 20 01:09:36 04 | L01 D2         | 10:00:29.0   2:12:05 2000 |  225 | g | 1.35 | 0.96 1.03   488 |P 1 V Q|
739527 | 04AQ02 Mar 20 01:14:16 04 | L01 D2         | 10:00:29.7   2:12:24 2000 |  225 | g | 1.37 | 1.10 1.17   480 |P 2 V Q|
739528 | 04AQ02 Mar 20 01:18:56 04 | L01 D2         | 10:00:28.4   2:12:35 2000 |  225 | g | 1.39 | 0.91 0.98   484 |P 1 V Q|
739781 | 04AQ02 Mar 28 22:36:11 04 | L01 D2         | 10:00:28.5   2:12:21 2000 |  520 | i | 1.06 | 0.84 0.89  3995 |P 1 V Q|
739782 | 04AQ02 Mar 28 22:45:44 04 | L01 D2         | 10:00:27.5   2:12:17 2000 |  520 | i | 1.07 | 0.95 1.01  3959 |P 1 V Q|
739783 | 04AQ02 Mar 28 22:55:18 04 | L01 D2         | 10:00:28.8   2:12:07 2000 |  520 | i | 1.08 | 1.03 1.07  3949 |P 2 V Q|
739784 | 04AQ02 Mar 28 23:04:50 04 | L01 D2         | 10:00:29.5   2:12:26 2000 |  520 | i | 1.09 | 0.88 0.92  3920 |P 1 V Q|
739785 | 04AQ02 Mar 28 23:18:26 04 | L01 D2         | 10:00:28.2   2:12:37 2000 |  520 | i | 1.11 | 0.93 0.96  3910 |P 1 V Q|
739786 | 04AQ02 Mar 28 23:27:58 04 | L01 D2         | 10:00:27.8   2:12:32 2000 |  520 | i | 1.12 | 1.02 1.03  4132 |P 2 V Q|
739787 | 04AQ02 Mar 28 23:37:44 04 | L01 D2         | 10:00:29.2   2:12:11 2000 |  520 | i | 1.15 | 1.06 1.08  3964 |P 2 V Q|
739789 | 04AQ02 Mar 28 23:52:19 04 | L01 D2         | 10:00:28.5   2:12:22 2000 |  360 | r | 1.19 | 1.14 1.19  2304 |P 2 V Q|
739790 | 04AQ02 Mar 28 23:59:12 04 | L01 D2         | 10:00:27.5   2:12:17 2000 |  360 | r | 1.21 | 1.19 1.22  2325 |P 2 V Q|
739791 | 04AQ02 Mar 29 00:06:13 04 | L01 D2         | 10:00:28.8   2:12:06 2000 |  360 | r | 1.23 | 1.06 1.06  2347 |P 2 V Q|
739792 | 04AQ02 Mar 29 00:13:06 04 | L01 D2         | 10:00:29.5   2:12:26 2000 |  360 | r | 1.25 | 1.05 1.03  2375 |P 2 V Q|
739793 | 04AQ02 Mar 29 00:19:59 04 | L01 D2         | 10:00:28.2   2:12:37 2000 |  360 | r | 1.28 | 1.10 1.09  2420 |P 2 V Q|
740058 | 04AQ02 Mar 29 23:17:02 04 | L01 D2         | 10:00:28.5   2:12:23 2000 |  360 | z | 1.12 | 0.66 0.75  2494 |P 1 V Q|
740059 | 04AQ02 Mar 29 23:23:57 04 | L01 D2         | 10:00:27.5   2:12:18 2000 |  360 | z | 1.13 | 0.65 0.72  2474 |P 1 V Q|
740060 | 04AQ02 Mar 29 23:30:51 04 | L01 D2         | 10:00:28.8   2:12:08 2000 |  360 | z | 1.14 | 0.65 0.71  2490 |P 1 V Q|
740061 | 04AQ02 Mar 29 23:37:45 04 | L01 D2         | 10:00:29.5   2:12:27 2000 |  360 | z | 1.16 | 0.66 0.73  2505 |P 1 V Q|
740062 | 04AQ02 Mar 29 23:44:39 04 | L01 D2         | 10:00:28.2   2:12:38 2000 |  360 | z | 1.18 | 0.67 0.73  2573 |P 1 V Q|
740063 | 04AQ02 Mar 29 23:52:34 04 | L04 D2         | 10:00:28.5   2:12:21 2000 |  360 | z | 1.20 | 0.66 0.74  2622 |P 1 V Q|
740064 | 04AQ02 Mar 29 23:59:27 04 | L04 D2         | 10:00:27.1   2:11:51 2000 |  360 | z | 1.22 | 0.68 0.73  2625 |P 1 V Q|
740065 | 04AQ02 Mar 30 00:06:19 04 | L04 D2         | 10:00:29.1   2:10:51 2000 |  360 | z | 1.24 | 0.76 0.81  2671 |P 1 V Q|
740066 | 04AQ02 Mar 30 00:13:12 04 | L04 D2         | 10:00:30.0   2:12:51 2000 |  360 | z | 1.26 | 0.74 0.80  2762 |P 1 V Q|
740067 | 04AQ02 Mar 30 00:20:07 04 | L04 D2         | 10:00:28.0   2:13:51 2000 |  360 | z | 1.29 | 0.77 0.80  2829 |P 1 V Q|
740068 | 04AQ02 Mar 30 00:27:01 04 | L04 D2         | 10:00:28.5   2:12:21 2000 |  360 | z | 1.32 | 0.81 0.84  2865 |P 1 V Q|
740069 | 04AQ02 Mar 30 00:33:55 04 | L04 D2         | 10:00:27.1   2:11:51 2000 |  360 | z | 1.35 | 0.83 0.85  2811 |P 1 V Q|
740070 | 04AQ02 Mar 30 00:41:32 04 | L04 D2         | 10:00:29.1   2:10:51 2000 |  360 | z | 1.39 | 0.89 0.91  2831 |P 2 V Q|
740071 | 04AQ02 Mar 30 00:48:25 04 | L04 D2         | 10:00:30.0   2:12:50 2000 |  360 | z | 1.43 | 0.91 0.92  2773 |P 2 V Q|
740072 | 04AQ02 Mar 30 00:55:18 04 | L04 D2         | 10:00:28.0   2:13:51 2000 |  360 | z | 1.47 | 0.91 0.93  2846 |P 1 V Q|
740087 | 04AQ02 Mar 30 02:41:38 04 | L01 D3         | 14:19:27.7  52:40:41 2000 |  520 | i | 1.20 | 0.74 0.84  2492 |P 1 V Q|
740088 | 04AQ02 Mar 30 02:51:11 04 | L01 D3         | 14:19:26.1  52:40:36 2000 |  520 | i | 1.20 | 0.74 0.84  2340 |P 1 V Q|
740089 | 04AQ02 Mar 30 03:00:44 04 | L01 D3         | 14:19:28.2  52:40:26 2000 |  520 | i | 1.20 | 0.73 0.83  2283 |P 1 V Q|
740090 | 04AQ02 Mar 30 03:10:17 04 | L01 D3         | 14:19:29.4  52:40:45 2000 |  520 | i | 1.21 | 0.73 0.82  2265 |P 1 V Q|
740091 | 04AQ02 Mar 30 03:19:50 04 | L01 D3         | 14:19:27.2  52:40:56 2000 |  520 | i | 1.22 | 0.82 0.90  2302 |P 1 V Q|
740092 | 04AQ02 Mar 30 03:29:24 04 | L01 D3         | 14:19:26.6  52:40:51 2000 |  520 | i | 1.23 | 0.72 0.81  2349 |P 1 V Q|
740093 | 04AQ02 Mar 30 03:42:55 04 | L01 D3         | 14:19:28.9  52:40:30 2000 |  520 | i | 1.25 | 0.71 0.80  2389 |P 1 V Q|
740095 | 04AQ02 Mar 30 03:57:41 04 | L01 D3         | 14:19:27.7  52:40:41 2000 |  360 | r | 1.28 | 0.88 0.98   937 |P 1 V Q|
740096 | 04AQ02 Mar 30 04:04:34 04 | L01 D3         | 14:19:26.1  52:40:36 2000 |  360 | r | 1.29 | 0.97 1.06   959 |P 2 V Q|
740097 | 04AQ02 Mar 30 04:11:27 04 | L01 D3         | 14:19:28.2  52:40:26 2000 |  360 | r | 1.30 | 0.89 0.98   970 |P 1 V Q|
740098 | 04AQ02 Mar 30 04:18:19 04 | L01 D3         | 14:19:29.4  52:40:45 2000 |  360 | r | 1.32 | 0.84 0.93   995 |P 1 V Q|
740099 | 04AQ02 Mar 30 04:25:13 04 | L01 D3         | 14:19:27.2  52:40:56 2000 |  360 | r | 1.33 | 0.92 1.01  1011 |P 2 V Q|
740100 | 04AQ02 Mar 30 04:33:26 04 | L01 D3         | 14:19:27.7  52:40:41 2000 |  360 | z | 1.35 | 0.81 0.90  1989 |P 1 V Q|
740101 | 04AQ02 Mar 30 04:40:19 04 | L01 D3         | 14:19:26.1  52:40:36 2000 |  360 | z | 1.37 | 0.82 0.90  2045 |P 1 V Q|
740102 | 04AQ02 Mar 30 04:47:12 04 | L01 D3         | 14:19:28.2  52:40:26 2000 |  360 | z | 1.39 | 0.82 0.90  1981 |P 1 V Q|
740103 | 04AQ02 Mar 30 04:54:05 04 | L01 D3         | 14:19:29.4  52:40:45 2000 |  360 | z | 1.41 | 0.88 0.95  1987 |P 1 V Q|
740104 | 04AQ02 Mar 30 05:00:58 04 | L01 D3         | 14:19:27.2  52:40:56 2000 |  360 | z | 1.44 | 0.84 0.91  2081 |P 1 V Q|
741658 | 04AQ03 Apr 09 21:12:41 04 | L01 D2         | 10:00:28.5   2:12:23 2000 |  520 | i | 1.05 | 0.92 0.98  3467 |P 1 V Q|
741659 | 04AQ03 Apr 09 21:22:14 04 | L01 D2         | 10:00:27.6   2:12:18 2000 |  520 | i | 1.05 | 0.86 0.93  3295 |P 1 V Q|
741660 | 04AQ03 Apr 09 21:31:47 04 | L01 D2         | 10:00:28.9   2:12:08 2000 |  520 | i | 1.05 | 0.96 1.02  3267 |P 1 V Q|
741661 | 04AQ03 Apr 09 21:41:20 04 | L01 D2         | 10:00:29.6   2:12:27 2000 |  520 | i | 1.06 | 1.05 1.11  3209 |P 1 V Q|
741663 | 04AQ03 Apr 09 21:58:10 04 | L01 D2         | 10:00:28.3   2:12:38 2000 |  520 | i | 1.07 | 1.00 1.07  3511 |P 1 V Q|
741664 | 04AQ03 Apr 09 22:07:43 04 | L01 D2         | 10:00:27.9   2:12:33 2000 |  520 | i | 1.08 | 0.98 1.04  3702 |P 1 V Q|
741665 | 04AQ03 Apr 09 22:17:16 04 | L01 D2         | 10:00:29.3   2:12:12 2000 |  520 | i | 1.09 | 0.93 0.99  3698 |P 1 V Q|
741666 | 04AQ03 Apr 09 22:24:22 04 | L01 D2         | 10:00:28.6   2:12:23 2000 |  300 | r | 1.10 | 1.10 1.15   990 |P 1 V Q|
741667 | 04AQ03 Apr 09 22:30:15 04 | L01 D2         | 10:00:27.6   2:12:18 2000 |  300 | r | 1.11 | 0.98 1.03  1017 |P 1 V Q|
741668 | 04AQ03 Apr 09 22:36:08 04 | L01 D2         | 10:00:28.9   2:12:08 2000 |  300 | r | 1.12 | 1.02 1.07  1035 |P 1 V Q|
741669 | 04AQ03 Apr 09 22:42:00 04 | L01 D2         | 10:00:29.6   2:12:27 2000 |  300 | r | 1.13 | 1.17 1.21  1029 |P 1 V Q|
741670 | 04AQ03 Apr 09 22:47:51 04 | L01 D2         | 10:00:28.3   2:12:38 2000 |  300 | r | 1.15 | 1.23 1.28  1038 |P 2 V Q|
741672 | 04AQ03 Apr 09 22:59:25 04 | L01 D2         | 10:00:28.6   2:12:23 2000 |  225 | g | 1.18 | 1.23 1.31   484 |P 2 V Q|
741673 | 04AQ03 Apr 09 23:04:01 04 | L01 D2         | 10:00:27.6   2:12:18 2000 |  225 | g | 1.19 | 1.18 1.26   482 |A 3 V Q|
741674 | 04AQ03 Apr 09 23:08:39 04 | L01 D2         | 10:00:28.9   2:12:08 2000 |  225 | g | 1.20 | 1.38 1.45   484 |P 3 O Q|
741675 | 04AQ03 Apr 09 23:13:15 04 | L01 D2         | 10:00:29.6   2:12:27 2000 |  225 | g | 1.22 | 1.47 1.54   478 |P 3 O Q|
741676 | 04AQ03 Apr 09 23:17:52 04 | L01 D2         | 10:00:28.3   2:12:38 2000 |  225 | g | 1.23 | 1.47 1.54   483 |P 3 O Q|
741745 | 04AQ03 Apr 14 01:12:41 04 | L01 D3         | 14:19:27.9  52:40:40 2000 |  520 | i | 1.19 | 0.96 1.03  3665 |P 1 V Q|
741746 | 04AQ03 Apr 14 01:23:20 04 | L01 D3         | 14:19:26.2  52:40:35 2000 |  520 | i | 1.19 | 0.84 0.93  3532 |P 1 V Q|
741747 | 04AQ03 Apr 14 01:34:03 04 | L01 D3         | 14:19:28.3  52:40:25 2000 |  520 | i | 1.19 | 0.98 1.06  3400 |P 1 V Q|
741748 | 04AQ03 Apr 14 01:44:48 04 | L01 D3         | 14:19:29.5  52:40:44 2000 |  520 | i | 1.20 | 0.81 0.90  3416 |P 1 V Q|
741749 | 04AQ03 Apr 14 01:56:41 04 | L01 D3         | 14:19:27.4  52:40:55 2000 |  520 | i | 1.20 | 0.87 0.95  3491 |P 1 V Q|
741750 | 04AQ03 Apr 14 02:12:18 04 | L01 D3         | 14:19:26.7  52:40:50 2000 |  520 | i | 1.21 | 1.03 1.09  3445 |P 1 V Q|
741751 | 04AQ03 Apr 14 02:22:52 04 | L01 D3         | 14:19:29.0  52:40:29 2000 |  520 | i | 1.22 | 1.01 1.07  3334 |P 3 V Q|
741753 | 04AQ03 Apr 14 02:38:55 04 | L01 D3         | 14:19:27.9  52:40:40 2000 |  360 | r | 1.25 | 0.91 0.98  1060 |P 1 V Q|
741754 | 04AQ03 Apr 14 02:49:38 04 | L01 D3         | 14:19:26.2  52:40:35 2000 |  360 | r | 1.26 | 0.93 1.00  1046 |P 1 V Q|
741755 | 04AQ03 Apr 14 02:57:41 04 | L01 D3         | 14:19:28.3  52:40:24 2000 |  360 | r | 1.27 | 0.84 0.92  1042 |P 1 V Q|
741756 | 04AQ03 Apr 14 03:05:46 04 | L01 D3         | 14:19:29.5  52:40:44 2000 |  360 | r | 1.29 | 0.93 1.00  1003 |P 1 V Q|
741757 | 04AQ03 Apr 14 03:13:49 04 | L01 D3         | 14:19:27.4  52:40:54 2000 |  360 | r | 1.30 | 0.92 0.98  1055 |P 1 V Q|
741758 | 04AQ03 Apr 14 03:26:07 04 | L01 D3         | 14:19:29.0  52:40:29 2000 |  520 | i | 1.33 | 0.91 0.97  3547 |P 1 V Q|
741760 | 04AQ03 Apr 14 03:40:00 04 | L01 D3         | 14:19:27.9  52:40:39 2000 |  225 | g | 1.38 | 1.05 1.12   544 |P 2 V Q|
741761 | 04AQ03 Apr 14 03:45:56 04 | L01 D3         | 14:19:26.2  52:40:35 2000 |  225 | g | 1.39 | 1.11 1.18   562 |P 2 V Q|
741762 | 04AQ03 Apr 14 03:52:39 04 | L01 D3         | 14:19:28.3  52:40:24 2000 |  225 | g | 1.41 | 1.26 1.32   590 |P 3 V Q|
741763 | 04AQ03 Apr 14 03:58:29 04 | L01 D3         | 14:19:29.5  52:40:44 2000 |  225 | g | 1.43 | 1.23 1.28   611 |P 3 V Q|
741764 | 04AQ03 Apr 14 04:04:11 04 | L01 D3         | 14:19:27.4  52:40:55 2000 |  225 | g | 1.45 | 1.24 1.29   619 |P 3 V Q|
741892 | 04AQ03 Apr 17 02:14:59 04 | L01 D3         | 14:19:28.0  52:40:43 2000 |  520 | i | 1.23 | 0.77 0.85  3740 |A 1 V Q|
741893 | 04AQ03 Apr 17 02:25:32 04 | L01 D3         | 14:19:25.5  52:40:13 2000 |  520 | i | 1.24 | 0.93 1.00  3959 |A 2 V Q|
741894 | 04AQ03 Apr 17 02:35:52 04 | L01 D3         | 14:19:28.8  52:39:13 2000 |  520 | i | 1.25 | 0.94 1.00  4403 |A 2 V Q|
741895 | 04AQ03 Apr 17 02:45:42 04 | L01 D3         | 14:19:30.4  52:41:13 2000 |  520 | i | 1.27 | 1.05 1.11  4293 |A 3 V Q|
741896 | 04AQ03 Apr 17 02:57:07 04 | L01 D3         | 14:19:27.1  52:42:13 2000 |  520 | i | 1.29 | 1.26 1.31  4160 |A 3 O Q|
741897 | 04AQ03 Apr 17 03:08:15 04 | L01 D3         | 14:19:26.3  52:41:43 2000 |  520 | i | 1.31 | 1.28 1.32  4664 |A 3 O Q|
741898 | 04AQ03 Apr 17 03:18:04 04 | L01 D3         | 14:19:29.6  52:39:43 2000 |  520 | i | 1.33 | 1.38 1.42  5047 |A 3 O Q|
741990 | 04AQ03 Apr 18 20:00:57 04 | L01 D2         | 10:00:28.6   2:12:20 2000 |  360 | i | 1.06 | 0.78 0.87  2607 |A 2 V Q|
741991 | 04AQ03 Apr 18 20:07:50 04 | L01 D2         | 10:00:27.6   2:12:15 2000 |  360 | i | 1.06 | 1.04 1.40  2528 |A 4 V Q|
741992 | 04AQ03 Apr 18 20:14:42 04 | L01 D2         | 10:00:28.9   2:12:05 2000 |  360 | i | 1.05 | 0.77 0.86  2521 |A 2 V Q|
741993 | 04AQ03 Apr 18 20:21:35 04 | L01 D2         | 10:00:29.6   2:12:24 2000 |  360 | i | 1.05 | 0.74 0.84  2498 |A 2 V Q|
741994 | 04AQ03 Apr 18 20:28:28 04 | L01 D2         | 10:00:28.3   2:12:35 2000 |  360 | i | 1.05 | 0.89 0.97  2508 |A 2 V Q|
741995 | 04AQ03 Apr 18 20:36:11 04 | L01 D2         | 10:00:27.6   2:12:15 2000 |  360 | i | 1.05 | 0.83 0.91  2444 |A 2 V Q|
741996 | 04AQ03 Apr 18 20:43:03 04 | L01 D2         | 10:00:29.6   2:12:24 2000 |  360 | i | 1.05 | 0.88 0.96  2448 |A 2 V Q|
741998 | 04AQ03 Apr 18 20:56:12 04 | L01 D2         | 10:00:28.6   2:12:20 2000 |  300 | r | 1.05 | 0.82 0.89   992 |A 2 V Q|
741999 | 04AQ03 Apr 18 21:02:02 04 | L01 D2         | 10:00:27.6   2:12:15 2000 |  300 | r | 1.06 | 0.93 1.00   982 |A 2 V Q|
742000 | 04AQ03 Apr 18 21:07:53 04 | L01 D2         | 10:00:28.9   2:12:05 2000 |  300 | r | 1.06 | 0.94 1.00   949 |A 3 V Q|
742001 | 04AQ03 Apr 18 21:13:45 04 | L01 D2         | 10:00:29.6   2:12:24 2000 |  300 | r | 1.06 | 0.93 0.99   935 |A 3 V Q|
742002 | 04AQ03 Apr 18 21:19:38 04 | L01 D2         | 10:00:28.3   2:12:35 2000 |  300 | r | 1.07 | 0.98 1.03   921 |A 3 V Q|
742003 | 04AQ03 Apr 18 21:26:13 04 | L01 D2         | 10:00:28.9   2:12:05 2000 |  300 | r | 1.07 | 1.04 1.08   915 |A 3 V Q|
742004 | 04AQ03 Apr 18 21:32:06 04 | L01 D2         | 10:00:29.6   2:12:24 2000 |  300 | r | 1.08 | 1.02 1.05   902 |A 3 V Q|
742005 | 04AQ03 Apr 18 21:37:53 04 | L01 D2         | 10:00:28.6   2:12:20 2000 |  225 | g | 1.09 | 1.13 1.18   442 |A 3 V Q|
742006 | 04AQ03 Apr 18 21:42:31 04 | L01 D2         | 10:00:27.6   2:12:15 2000 |  225 | g | 1.09 | 1.20 1.25   441 |A 3 V Q|
742007 | 04AQ03 Apr 18 21:47:08 04 | L01 D2         | 10:00:28.9   2:12:05 2000 |  225 | g | 1.10 | 1.14 1.20   438 |A 2 V Q|
742008 | 04AQ03 Apr 18 21:51:46 04 | L01 D2         | 10:00:29.6   2:12:24 2000 |  225 | g | 1.11 | 1.16 1.21   441 |A 2 V Q|
742009 | 04AQ03 Apr 18 21:56:24 04 | L01 D2         | 10:00:28.3   2:12:35 2000 |  225 | g | 1.12 | 1.18 1.23   442 |A 2 V Q|
742010 | 04AQ03 Apr 18 22:01:34 04 | L01 D2         | 10:00:27.6   2:12:15 2000 |  225 | g | 1.13 | 1.19 1.24   446 |A 2 V Q|
742125 | 04AQ03 Apr 21 01:34:23 04 | L01 D3         | 14:19:27.9  52:40:42 2000 |  520 | i | 1.21 | 0.81 0.87  3154 |P 1 V Q|
742126 | 04AQ03 Apr 21 01:47:23 04 | L01 D3         | 14:19:25.4  52:40:12 2000 |  520 | i | 1.22 | 0.90 0.95  3327 |A 2 V Q|
742127 | 04AQ03 Apr 21 01:59:50 04 | L01 D3         | 14:19:28.7  52:39:12 2000 |  520 | i | 1.23 | 0.82 0.88  3356 |A 1 V Q|
742128 | 04AQ03 Apr 21 02:09:49 04 | L01 D3         | 14:19:30.3  52:41:12 2000 |  520 | i | 1.24 | 0.82 0.85  3383 |A 1 V Q|
742129 | 04AQ03 Apr 21 02:25:57 04 | L01 D3         | 14:19:27.0  52:42:12 2000 |  520 | i | 1.26 | 0.76 0.80  3525 |A 1 V Q|
742130 | 04AQ03 Apr 21 02:38:52 04 | L01 D3         | 14:19:26.2  52:41:41 2000 |  520 | i | 1.29 | 0.95 1.00  3717 |A 5 O Q|
742218 | 04AQ03 Apr 22 00:39:26 04 | L01 D3         | 14:19:26.1  52:41:40 2000 |  520 | i | 1.19 | 0.66 0.74  2897 |A 1 V Q|
742219 | 04AQ03 Apr 22 00:50:26 04 | L01 D3         | 14:19:29.4  52:39:40 2000 |  520 | i | 1.19 | 0.77 0.83  3153 |A 1 V Q|
742220 | 04AQ03 Apr 22 00:57:30 04 | L01 D3         | 14:19:27.7  52:40:39 2000 |  300 | r | 1.19 | 0.89 0.93   723 |A 2 V Q|
742221 | 04AQ03 Apr 22 01:04:29 04 | L01 D3         | 14:19:25.3  52:40:10 2000 |  300 | r | 1.19 | 0.78 0.83   738 |A 1 V Q|
742222 | 04AQ03 Apr 22 01:10:20 04 | L01 D3         | 14:19:28.6  52:39:10 2000 |  300 | r | 1.20 | 0.71 0.77   751 |A 1 V Q|
742223 | 04AQ03 Apr 22 01:16:12 04 | L01 D3         | 14:19:30.2  52:41:10 2000 |  300 | r | 1.20 | 0.77 0.81   762 |A 1 V Q|
742224 | 04AQ03 Apr 22 01:22:05 04 | L01 D3         | 14:19:26.9  52:42:10 2000 |  300 | r | 1.20 | 0.73 0.79   777 |A 1 V Q|
742225 | 04AQ03 Apr 22 01:27:56 04 | L01 D3         | 14:19:27.7  52:40:40 2000 |  225 | g | 1.21 | 0.77 0.85   347 |A 1 V Q|
742226 | 04AQ03 Apr 22 01:32:55 04 | L01 D3         | 14:19:25.3  52:40:10 2000 |  225 | g | 1.21 | 0.84 0.90   357 |A 1 V Q|
742227 | 04AQ03 Apr 22 01:38:43 04 | L01 D3         | 14:19:28.6  52:39:10 2000 |  225 | g | 1.22 | 0.85 0.91   366 |A 1 V Q|
742228 | 04AQ03 Apr 22 01:43:21 04 | L01 D3         | 14:19:30.2  52:41:10 2000 |  225 | g | 1.22 | 0.89 0.94   359 |A 2 V Q|
742229 | 04AQ03 Apr 22 01:49:42 04 | L01 D3         | 14:19:26.9  52:42:10 2000 |  225 | g | 1.23 | 0.86 0.92   366 |A 1 V Q|
742339 | 04AQ03 Apr 22 22:19:15 04 | L01 D2         | 10:00:28.5   2:12:20 2000 |  360 | i | 1.20 | 0.62 0.71  2764 |P 1 V Q|
742340 | 04AQ03 Apr 22 22:26:06 04 | L01 D2         | 10:00:27.5   2:12:15 2000 |  360 | i | 1.22 | 0.68 0.76  2718 |P 1 V Q|
742341 | 04AQ03 Apr 22 22:32:59 04 | L01 D2         | 10:00:28.8   2:12:05 2000 |  360 | i | 1.25 | 0.71 0.77  2716 |P 1 V Q|
742342 | 04AQ03 Apr 22 22:39:51 04 | L01 D2         | 10:00:29.5   2:12:24 2000 |  360 | i | 1.27 | 0.74 0.81  2681 |P 1 V Q|
742343 | 04AQ03 Apr 22 22:46:42 04 | L01 D2         | 10:00:28.2   2:12:35 2000 |  360 | i | 1.30 | 0.74 0.81  2729 |P 1 V Q|
742344 | 04AQ03 Apr 22 22:52:35 04 | L01 D2         | 10:00:28.5   2:12:19 2000 |  225 | g | 1.33 | 1.02 1.06   510 |P 3 O Q|
742345 | 04AQ03 Apr 22 22:57:14 04 | L01 D2         | 10:00:27.5   2:12:15 2000 |  225 | g | 1.35 | 1.06 1.09   511 |P 3 O Q|
742553 | 04AQ03 Apr 24 22:24:11 04 | L01 D2         | 10:00:28.5   2:12:23 2000 |  300 | r | 1.25 | 0.59 0.72  1055 |P 1 V Q|
742554 | 04AQ03 Apr 24 22:30:03 04 | L01 D2         | 10:00:27.5   2:12:18 2000 |  300 | r | 1.27 | 0.60 0.72  1043 |P 1 V Q|
742555 | 04AQ03 Apr 24 22:35:55 04 | L01 D2         | 10:00:28.8   2:12:08 2000 |  300 | r | 1.29 | 0.72 0.83  1021 |P 1 V Q|
742556 | 04AQ03 Apr 24 22:41:49 04 | L01 D2         | 10:00:29.5   2:12:27 2000 |  300 | r | 1.31 | 0.73 0.83  1023 |P 1 V Q|
742557 | 04AQ03 Apr 24 22:47:41 04 | L01 D2         | 10:00:28.2   2:12:38 2000 |  300 | r | 1.34 | 0.70 0.80  1041 |P 1 V Q|
742558 | 04AQ03 Apr 24 22:53:30 04 | L01 D2         | 10:00:28.5   2:12:23 2000 |  225 | g | 1.37 | 0.77 0.88   758 |P 1 V Q|
742559 | 04AQ03 Apr 24 22:58:08 04 | L01 D2         | 10:00:27.5   2:12:18 2000 |  225 | g | 1.40 | 0.78 0.88   755 |P 1 V Q|
742560 | 04AQ03 Apr 24 23:02:45 04 | L01 D2         | 10:00:28.8   2:12:08 2000 |  225 | g | 1.42 | 0.76 0.86   750 |P 1 V Q|
742561 | 04AQ03 Apr 24 23:07:23 04 | L01 D2         | 10:00:29.5   2:12:27 2000 |  225 | g | 1.45 | 0.72 0.83   743 |P 1 V Q|
742562 | 04AQ03 Apr 24 23:12:00 04 | L01 D2         | 10:00:28.2   2:12:38 2000 |  225 | g | 1.48 | 0.78 0.88   727 |P 1 V Q|
